transaction_id,mcc,card_number,customer_name,card_name,issueing_bank,transaction_ammount,location,aquiring_bank
8223533626,BMW,3534247827919388,Ursulina Van Haeften,jcb,Eamia,,Coris,Voolia
0108128776,Chevrolet,3541493565360010,Llewellyn Donn,jcb,Zoombeat,,Yipeng,Edgeify
1954850328,Pontiac,3540176357737500,Stormie Buntin,jcb,Layo,,Örnsköldsvik,Tazz
1066237999,Mercedes-Benz,3543732842605764,Pincas Aneley,jcb,Feedmix,,Kaiama,Kazu
0217430171,Hyundai,3540317011417267,Lorry Grain,jcb,Jaxspan,,Baoxu,LiveZ
5067897643,Subaru,6762678212606584,Cristie Taile,maestro,Twiyo,,Taverny,Twitterwire
0153474009,Volkswagen,30559203948095,Edith Warrier,diners-club-carte-blanche,Rhynyx,,Cametá,Zoombox
6133552573,Porsche,3536943873354169,Babita Simister,jcb,Jetwire,,Świdwin,Oloo
4430767556,Pontiac,6380804503960850,Devonne Guierre,instapayment,Jetpulse,,Orange,Vitz
2074486677,Honda,3587398864936979,Melessa Abrashkov,jcb,Pixonyx,,Baruchowo,Voolia
8867986910,Porsche,6771813307423566,Jennilee Ardy,laser,Gigazoom,,Yangping,Wordware
7313485131,Ford,6375255851319032,Freddie Slucock,instapayment,Twimbo,,Sidomulyo,Wikizz
2533893846,Chevrolet,4026804114976605,Sibley Sorrel,visa-electron,Flipstorm,,Santa Bárbara,Jetwire
1528307046,Lexus,3588466775855858,Kipp Gubbin,jcb,Dabvine,,Fatuulan,Kaymbo
0290827469,Ford,30528441789884,Peggie Meece,diners-club-carte-blanche,Brainsphere,,Bayeux,Jabbersphere
4086244039,Toyota,4405029772545523,Arthur Palliser,visa-electron,Meembee,,Uchimaru,Meetz
6293185692,Subaru,4844815113736915,Garret Lethardy,visa-electron,Trudeo,,Yunji,Twitterbeat
9607789741,Ford,5602214054763048,Patty Landells,bankcard,Dabjam,,Bislig,Livepath
8749958879,Plymouth,3586700372367665,Reinwald Keat,jcb,Tazz,,Beauvais,Topicblab
4451852137,Hyundai,3587334807059611,Catrina Shadfourth,jcb,Zoonoodle,,Santa Magdalena,Jabbertype
6135835637,Hyundai,490518707324572229,Horton Linnemann,switch,Jetpulse,,Göteborg,Avavee
8687562446,BMW,30213097694478,Rufe Rishworth,diners-club-carte-blanche,Yacero,,Itaperuçu,Riffpedia
3610914580,Infiniti,3550579182061342,Rozele Coyte,jcb,Fanoodle,,Krajan,Zazio
7138960220,Acura,3532907721109608,Rainer Fishpool,jcb,Avamm,,San Esteban,Pixoboo
9951728391,Suzuki,374288604569797,Willie Garden,americanexpress,Quamba,,Pingshan,JumpXS
6470549292,Acura,3529155991021591,Drona Guppy,jcb,Shuffledrive,,Heshi,Eayo
6313418867,Chrysler,3582880602618006,Randy Pilbury,jcb,Twitternation,,Opi,Brainbox
0388461306,Ford,5271821553875600,Stevana Dabinett,mastercard,Dynabox,,Faḩmah,Talane
3978749955,Mitsubishi,5602252326320577,Arney Freed,bankcard,Flashset,,Dzwola,Kazio
4005665209,BMW,5602249286051989329,Niles Nancarrow,china-unionpay,Riffpedia,,Xinzheng,Linktype
9562080277,Buick,3573358401895944,Charles Gethins,jcb,Ailane,,Shiren,Devpoint
6873982032,MINI,3533548049936733,Carmita Bernardinelli,jcb,Chatterpoint,,Herrljunga,Devpulse
8652377294,GMC,3559385357945207,Lorin Haskayne,jcb,Vitz,,Qiawan,Yakijo
3877960758,Isuzu,560223500837845331,Alayne Twoohy,china-unionpay,Fanoodle,,Baião,Skinte
4262955109,Nissan,3559485037677475,Letti Beattie,jcb,Ozu,,Novo Aripuanã,Jatri
3769390563,Saturn,633470837394640910,Byran Ahearne,solo,Babbleblab,,Capayán,Camido
3851553853,Chrysler,5100139268175605,Auroora Saltern,mastercard,Rhyzio,,Sinop,Fivebridge
2028322055,Chevrolet,3531741743934003,Amberly Dunbobbin,jcb,Edgetag,,Cunén,BlogXS
6282196000,Ford,5100170965226508,Theo Klaggeman,mastercard,Eidel,,Preston,Jabbersphere
7114496001,Porsche,56022536337779143,Alanson Bealing,china-unionpay,Wordpedia,,Gornji Petrovci,Trudoo
